,Job Title,Company,Location,Job Url
35,Web Developer,Valve and Meter,Indianapolis,https://jobs.github.com/positions/e9f3fc0d-b923-4e38-91f0-318ac1d5bb19
36,Front-End Developer ,Kafe Rocks,Remote,https://jobs.github.com/positions/dbcf9119-ccb2-4a63-8d58-9ca7c26cc6b8
37,Senior Full Stack JS Developer (with Firebase),Intersog,Vancouver,https://jobs.github.com/positions/4ea5f5a8-51fd-4c6d-ae29-040f3ab569c5
38,Senior Software Engineer,Teamshares,Remote,https://jobs.github.com/positions/f2364a48-c145-40ba-9d69-5967b49333b7
39, Senior Software Developer (Full Stack),"CircleBlack, Inc",New Jersey ,https://jobs.github.com/positions/2f3bce46-908b-4018-9135-fe0e514d9929
40,(Senior) Software Engineer,https://www.kranus-health.de,Munich,https://jobs.github.com/positions/105e9bfe-23b5-446b-94b2-c38db98c1299
41,"Softwareentwickler (m/w/d) für Anwendungssoftware (Desktop/Web-Front-End, Back-End, Web Services)",Somentec Software GmbH,Langen / Hessen (Germany),https://jobs.github.com/positions/f65bd13b-1e13-4947-8eb1-d3218b141340
42,Library Publishing & Repository Developer,University of Oklahoma,"Norman, OK",https://jobs.github.com/positions/306574f2-a38c-48d0-8cb4-862695282149
43,Javascript Engineer,Sticker Mule,Anywhere,https://jobs.github.com/positions/421871bb-05d3-4fbe-b00c-3f372fa35584
44,Senior Software Engineer,Reaktor,"New York, NY",https://jobs.github.com/positions/dd1d35fc-9d71-4af4-bfcf-77b0e493afa0
45,Experienced mobile developer (iOS/Android),Reaktor,"New York, NY",https://jobs.github.com/positions/f33e349b-a478-4b50-a8bc-1a060f759976
46,DevOps Engineer,Reaktor,"Amsterdam, Netherlands",https://jobs.github.com/positions/987108f2-4859-4f16-922e-c9b681c606be
47,Software Developer,Reaktor,"Amsterdam, Netherlands",https://jobs.github.com/positions/de895ae7-2947-4b31-a447-29d84c9c1ce1
48,Tech Lead,Interledger Foundation,Remote,https://jobs.github.com/positions/95e1ae9c-289c-4f36-bd39-5b73a9bed202
